,content,headline,section_name,type_of_material
0,"










Hey, the man on the phone said. Are you still coming tonight?        



It took a moment for me to realize that he was calling from Distilled to confirm my dinner reservation.        
Yes, I replied. Cool, he said, and sounded as if he meant it.        
Distilled opened in June on the corner of Franklin Street and West Broadway in TriBeCa, the former home of Drew Nieporents Layla and Centrico. The belly dancers and the frozen-margarita machine are gone, but a certain effervescence remains. So does Mr. Nieporent, hovering in the background as guru to Distilleds owners, the first-time restaurateur Nick Iovacchini and Shane Lyons, the 25-year-old chef.        
The space is blandly handsome, with dark woods and charcoal banquettes, breathlessly high ceilings and quasi-medieval wheel chandeliers like crowns of fire. One side is devoted to the bar, where the drinks, by Benjamin Wood, are lady-killers, elegant with a knife twist. Occasionally 1980s mope rock shimmers from the speakers.        
Service is confoundingly friendly, almost coddling. When I stood outside reading the posted menu, someone came hurrying down the steps to hand me my own copy, so I wouldnt crane my neck, he said. On arrival and departure, a host leapt to open the door.        
The mission statement that preceded one meal (We are a modern American public house, the waiter intoned) was both unnecessary and slightly coy about Mr. Lyonss ambitions. Yes, wings are on the menu, but they are jacked up with gochujang, Korean fermented soybean and chile paste  borrowed, perhaps, from the larder at Momofuku Noodle Bar, where Mr. Lyons worked for a year.        
There are occasional technical flourishes, like watermelon cubes Cryovaced to intensify their flavor, and mushrooms surrounded by puffs of buttery onion soubise, aerated by an iSi siphon. A tousle of dehydrated and shaved bacon adorns an open-face sandwich of heirloom tomatoes and basil on sourdough: a B.L.T., of course. Sunflower sprouts make up for the missing crunch.        
Other classics are updated rather than upended: popcorn dusted with garlic, cumin and brewers yeast, which evokes cheese; snappy pickles fermented with gochugaru, Korean red chile powder; pork ribs glazed with more gochujang, teasing the sweet-salty border without straying too far in either direction.        
Onion rings, battered with Yuengling beer and tapioca flour, are fried, then frozen (a theatrical waiter boasted that they had been brought to negative 60 degrees) and fried again. They arrive nicely sturdy, the sole purpose of their existence to ferry the narcotic-like condiments, burned scallions cut with jalapeos and mayonnaise with the sting of preserved lime.        
The substantial burger (which the menu modestly refrains from telling you is made with grass-fed, organic-grain-finished beef) is abetted by what may be the finest version of Tater Tots in town, the grated potatoes cooked until just underdone and then crisped with Wondra flour.        
Everything here goes to 11, one diner marveled. Duck breaded and fried like chicken is brazen and irresistible, despite the oversweet accompanying waffle, a spongy slab of brioche dredged in custard, like French toast. Even broccoli turns wanton, flung with slivers of duck bacon and pickled watermelon rind in a fish sauce vinaigrette, with (wait for it) a dollop of duck fat.        
But liver pt served with plumes of baked, dehydrated chicken skin? Now this is confrontational. My mission in life is to make skinny girls fat, Mr. Lyons told my table. He got a laugh, but the cracklings were abandoned after one bite.        
The only logical end to such a meal is smores  deconstructed, as is the fashion, with a hickory-smoked graham-flour cake, a torched smear of marshmallow fluff, dark chocolate pudding and graham crackers broken on top. It is obvious and no less pleasurable for it. (Kari Rak, previously at Bouchon Bakery, will introduce a new dessert menu this month.)        
Or take a shot of moonshine, with an apricot shrub as a chaser. It edges everything in halos and can make you believe that a modern American public house, whatever that is, is where you want to be.        
Distilled 
211 West Broadway (Franklin Street); (212) 601-9514; distilledny.com.        
Recommended B.L.T.; chilled charred broccoli; porgy; burger; wings; country fried duck and waffles; pork ribs; smores.        
Prices $5 to $29.        
Open Nightly for dinner, Saturday and Sunday for brunch.        
Reservations Accepted.        
Wheelchair access Entrance is up a short flight of stairs from the sidewalk. Restrooms have handrails.        



 



",At Home in a Public House,Dining & Wine,Review
1,"










Recently I attended two extraordinary dinners in New York, one featuring the precise, focused red Burgundies of Ren Engel and the other the exquisite Cte-Rties of Marius Gentaz.        



At their best, these are the sorts of wines that amplify the sense of wonder at the heart of greatness. They are reminders that no matter how rationally we try to analyze wines, they show their true measure in the emotions they evoke.        
Engel and Gentaz are great examples of wines that express all the distinctive beauty of their terroirs, enhanced by the personal touch of the winemaker. These two small family estates share another important characteristic: they no longer exist.        
Few passages in family businesses are more difficult to negotiate than the leadership transition from one generation to the next. Ideally, it occurs seamlessly, the parent ceding control to the child while remaining available to offer occasional advice and encouragement. But it may happen abruptly, after sudden illness or death. It may be fierce, as when Oedipal drama interferes with judgment.        
Or, as in the case of Engel and Gentaz, an estate hits a dead end, with no heirs to carry on.        
Its in the nature of things that estates come and go. Most die off unmourned. Their wines were not distinctive enough, perhaps, to be irreplaceable. Yet for every great estate like Jean-Louis Chave of the northern Rhne, said to have made wine continuously since 1481, the annals are replete with names now consigned to history, their wines to be savored wistfully or sold at auction for outlandish prices born of increasing scarcity.        
Henri Jayer, the legendary Burgundian vigneron, died in 2006 after retiring some years before. His vineyards are now farmed by his nephew by marriage, Emmanuel Rouget, whose wines are well respected but not revered.        
Raymond Trollat was for years the conscience of St.-Joseph, having adhered to traditional, backbreaking agricultural methods as others were taking easier paths. He retired in 2005 with no heirs. I read recently that a bottle of his St.-Joseph had sold at auction for $600, a ridiculous price for what is essentially a rustic but soulful village wine, though perhaps not so ridiculous for the spirit of Raymond Trollat, which is irreplaceable.        
Nol Verset played a similar role in Cornas, maintaining the ancient traditions of this northern Rhne village through many lean years until the rest of the world learned to appreciate the wines. Mr. Verset retired and sold off his vines, his wines surfacing occasionally like eloquent voices from the past.        
Once, a friend opened a bottle of 1979 Barbaresco from Giovannini Moresco, a long-gone producer. What a beautiful legacy, pure, pale and elemental. It came and went so fast, and, sadly, Ive never seen another bottle.        
Alberico Boncompagni Ludovisi, the prince of Venosa, produced his last wonderful bottles of Fiorano, from his estate within the city limits of Rome, in 1995. That year, for reasons he did not explain, he tore out his vineyard. The prince died in 2005, and after years of legal wrangling, the estate was divided among his heirs, who replanted the vineyard. One day well see whether the new wines bear any relation to the old.        
Continuity is easier in some regions. In Bordeaux, for example, where so many chateaus are in the hands of corporations, its more a matter of replacing employees and carrying on. But Bordeaux is not always so corporate. Jean-Franois Fillastre, the proprietor of Domaine du Jaugaret, one of my favorite small Bordeaux estates, is 70 and has no heirs. I wonder what will happen to it.        
If life were fair, Ren Engel would still be in the hands of the Engel family. Philippe Engel took over the estate in 1981 from his father, Pierre, who died young, and by all accounts Philippe transformed a good producer into a terrific one. But he, too, died young, of a heart attack at 49 in 2005. With no heirs, it was sold to Franois Pinault, the billionaire who also owns Chteau Latour, and is now called Domaine dEugnie and is still discovering its personality.        
At the small Engel dinner at DBGB on the Bowery, we drank six bottles of grand cru Burgundy: Clos Vougeots from 1999, 96, 91 and 90, and Grands chzeauxs from 99 and 98. As a group, the wines were elegant, subtle and complex, yet with a touch of rusticity that seemed to give them individuality. The 98 Grand chzeaux especially stood out. It was beautifully calibrated and clear, spicy, floral and bursting with energy. The 99 Grand chzeaux likewise showed great finesse, while the Clos Vougeots were richer and plumper, lovely but maybe not with the same sense of intricate detail.        
We toasted the memory of Philippe Engel, and those who had known him told stories of this adventurous man who enjoyed boating, parties and traveling the world.        
By contrast, Marius Gentaz never went far from his home in Ampuis. In many ways, his life had more in common with the 19th century than the 21st.        
He farmed less than three acres on the dizzyingly steep slopes of Cte-Rtie, and essentially made his wines, labeled Gentaz-Dervieux, by hand. He began in wine in 1947 with his father-in-law, then worked on his own from 1952 until 1993. When he retired, his vines went to his nephew, Ren Rostaing, who blends them into his excellent Cte-Rties. But they are not Gentaz-Dervieux.        
At the dinner, put on at Bar Boulud by the Rare Wine Company, an importer, several dozen of us drank 14 vintages from 1993 back to 1978. To drink any one of these bottles could have been the zenith of a wonderful meal; to have 14 was overwhelming. And each seemed to have a story to tell, about a place and a man and a time when life was lived locally.        
Collectively, these were gentle wines, yet with a tensile strength that belied their graceful structure. They were savory and meaty, typical of syrahs from the northern Rhne, yet complex, gorgeously fragrant, mellow yet insistent.        
If I were pressed to reveal my favorites, I would say that I loved the soft 93, the ripe 90 and the ethereal 83. But the 88 was almost otherworldly in its beauty, while the 87 was surprisingly open, full and harmonious, and the 85 still deep and dense with a mosaic of aromas and flavors that have many years to go to express themselves fully.        
Its bittersweet to drink wines like these, knowing that each opened bottle is one less to go around. Yet its also a time to celebrate that part of the human spirit that allows us to see beyond ourselves, knowing that memories travel further than flesh.        



 



",What Becomes of the Lost Estates?,Dining & Wine,News
2,"










Shining Star: Doctor Sleep, Stephen Kings much-anticipated sequel to The Shining, isnt on the hardcover list yet  its official release date is Sept. 24  but back in 1977, The Shining did spend time there on its way to becoming a cultural touchstone. (It also sold well in paperback, especially after Stanley Kubricks 1980 film adaptation.)        



The Shining was Kings third novel, and both the Book Review and the daily New York Times paid attention, though King might have wished they hadnt: To say that Stephen King is not an elegant writer, Jack Sullivan groused in the Book Review, is putting it mildly. The dailys reviewer, Richard R. Lingeman, wasnt much kinder: The evil is slapdash, unfocused and eventually preposterous, he wrote. King is a natural, but he lacks control; he simply rears back and lets fly with the fireball, and a lot of wild pitches result. The criticism apparently stung. Sales arent all-important, King later told Lingeman. We all want to be nominated for a National Book Award. I grew up reading King, and the literary establishment has gradually come around; in 2003, the National Book Foundation awarded him a medal for distinguished contribution to American letters.        
The Ballad of Jail Reading: In next weeks issue, Lauren Groff will review Peter Orners new story collection, Last Car Over the Sagamore Bridge. Orner has never hit the best-seller list, despite critical acclaim, but he did have a recent brush with the wilder side of popular fiction  as the expert witness in a lawsuit involving a California prisoners right to read werewolf erotica. (The plaintiff, an inmate at Pelican Bay State Prison, successfully appealed after his copy of Mathilde Maddens Silver Crown was confiscated.)        
At stake in the case was the very tricky and very subjective issue of literary value, Orner told me via e-mail. As a fiction writer, you cant really say no when someone asks you to read some werewolf erotica, especially for a good cause. And Id say the right to read, wherever you are, is a pretty good cause. Orner ended up tearing through the book, he said. I tend to be a very slow reader. I read The Silver Crown fast  the prose really moves, lets say. I wish I had as much action in my own books.        
Orner studied law, and has worked in prisons both in a legal capacity and as a writing teacher. Hes sympathetic, he told me, to their challenges. But he would tend to allow most books. Correctional officers have to enforce discipline in an incredibly tough environment, he said. Pelican Bay is one of the most violent prisons in California. . . . Theyve got some extraordinarily serious problems. My humble thought, speaking as a writer, is that an inmate reading a book about werewolves having sex is the least of their problems.        



 



",Inside the List,Books,News
3,"










I had planned to spend a week at the end of the summer on an island off the Sicilian coast. Sunny skies and blue waters were to be followed by a night or two in Palermo and a few days in the countryside visiting Fabrizia Lanza, director of the Anna Tasca Lanza cooking school, where the main activity is picking and cooking vegetables from the garden for every meal.        



Alas, my summer whizzed by, and the vacation became an impossible mission. To console myself, I began to cook.        
With farmers market produce at its peak, I can approximate some remembered dishes from previous visits, and Fabrizias cookbook Coming Home to Sicily fills in the blanks by giving actual recipes to follow. There is an unusual pesto sauce from nearby Trapani, made with basil, coarsely chopped almonds and ripe tomato. There are a zesty eggplant caponata and savory baked eggplant involtini. Not so easy for a city cook to reproduce is a beautiful dish of artichokes roasted on glowing hot embers, but I am going to try.        
The book is arranged by season, so the reader gets a sense of a working Sicilian farm kitchen throughout the year, beginning with the first shoots of wild fennel in the spring, and all the attendant seasonal projects and rituals.        
Of course, there are fish dishes, and meat dishes, too, most imbued with the scent of herbs and garlic. But they have a definite southern sensibility, strikingly different from northern Italian cooking. I found myself drawn to a simple stovetop lamb stew called spezzatino di agnello, seasoned with only a pinch of saffron and a splash of wine, then showered with lots of chopped mint. Fabrizia cuts lamb shoulder into cubes to make this, but since my butcher had beautiful thick-cut shoulder chops, I decided to make mine with those.        
Once assembled, this fragrant stew takes only about an hour to cook. It has a bright-flavored lightness that makes it ideal for these still rather balmy September evenings. I served it with plain boiled potatoes  nothing more was needed.        
While I will remember the summer of 2013 as the one I didnt spend in Sicily, the meals Ive been cooking lately have had a distinctly Sicilian accent. This year, it seems the vacation is happening right in my own kitchen.        



 



",Sicilian Summer on the Mainland,Dining & Wine,News
4,"










Before I ate my way around Catalonia, I assumed that the great (and sadly, late) Penelope Casas recipe for romesco sauce, from her book The Foods and Wines of Spain was the only one I would ever need.        



Deservedly a classic, its a rich and piquant pure made from sweet dried Spanish peppers along with tomato, garlic, almonds, vinegar and oil, pounded with breadcrumbs as a binder. Its marvelous on simply cooked fish, tasty stirred into seafood stews and makes a fine topping for pretty much any vegetable sturdy enough to hold its own against the thick, pungent sauce.        
But once I got to Catalonia, I met romescos of other persuasions.        
Some were spicy and as runny as tomato sauce. Some were as thick as hummus and smoky with charred dried chiles. One memorably complex version, which Ive written about before, was spiked with sweet almond biscuits and enriched with hard-cooked eggs and garlic confit, then dolloped on slim green onions called calcots.        
None of this is to knock Ms. Casass excellent recipe. Nor does it imply that when it comes to romesco sauce, anything goes. But it does give me license to take a few liberties.        
The first is to skip the sweet dried peppers, called noras, that I had always thought were essential. They are indeed very nice, but also hard to come by unless you plan ahead (not my strong suit).        
Instead I substituted broiled red bell peppers. Not only do the fresh peppers add a fleshy sweetness and smokiness from the fire, they are also plentiful this time of year and begging for a noble purpose.        
For a mild kick and to intensify the smokiness, I threw in a bit of smoked hot paprika. And instead of almonds, or a mix of almonds and hazelnuts, I relied solely on hazelnuts for an earthier note.        
The result can be used nearly anywhere a brightly flavored sauce or condiment is required, and will keep in the fridge for at least a week.        
In her various books, Ms. Casas recommends using romesco on grilled tuna, as a sauce for shrimp and lobster or slicked over potatoes and green beans in a substantial salad. Here, Ive tossed it with quickly blanched broccoli, which is crisp and light, but hearty enough to stand up to this very bold sauce.        



 



",A Romesco Sauce That Earns Top Billing,Dining & Wine,News
5,"










SEOUL, South Korea  In the latest sign of a thaw on the divided Korean Peninsula, hundreds of cars and trucks streamed across the border on Monday to take South Korean managers and raw materials back to a jointly operated industrial park in North Korea, where factories resumed production after a 166-day hiatus.        



Operations at the factory complex in the North Korean town of Kaesong came to a halt in early April, when the North withdrew all 53,000 of its workers, blaming tensions with the United States and South Korea.        
The two Koreas reached an agreement in mid-August to reopen the complex, following weeks of negotiations. Technicians from the South have since made day trips across the border to work on the long-idled plants. Separately, South Korean officials have been negotiating with their North Korean counterparts over changes that they hope will make the joint project less vulnerable to political tensions in the future, such as attracting non-Korean investment.        
More than 800 South Korean factory managers and truck drivers entered Kaesong on Monday, as about half of the 123 South Korean-owned factories there began test runs or resumed production, with North Korean employees back at work. Officials from a South Korean lobby group representing the interests of Kaesong factory owners handed out roses to managers at the border crossing to celebrate the occasion. Many of the South Koreans will stay at the site to manage the plants, as they had until South Korea withdrew all of its personnel between late April and early May.        
Since beginning operations in late 2004 as a test case for Korean reunification, the Kaesong complex has slowly grown in size, pairing South Korean manufacturing know-how with inexpensive North Korean labor. Last year, it produced $470 million worth of textiles, shoes, electronics parts and other goods.        
North Korea has agreed to exempt the South Korean-owned factories in Kaesong from taxation this year to help them make up for the millions of dollars lost because of the five-month halt in production. It also agreed to allow more frequent border crossings for South Koreans working at the plants. The North previously opened the border only four times a day for those traveling to and from Kaesong.        
The resumption of production at Kaesong was the most visible sign of easing tensions between the rival Koreas since they traded threats of war last spring, following the Norths latest nuclear test in February.        
Also on Monday, the two governments exchanged lists of names of people who will be allowed to meet with long-lost relatives from across the border, another inter-Korean program that is being resumed. The elderly Koreans, 96 from the South and 100 from the North, will participate in family reunions scheduled to begin on Sept. 25; they are among tens of thousands who have been on a waiting list to be reunited with relatives last seen during the Korean War of 1950-53.        



 



",Jointly Run Factory Park in North Korea Resumes Production,World,News
6,"










KABUL, Afghanistan  An outspoken female police commander in southern Helmand Province died Monday, a day after being shot by two gunmen, the authorities said. It was the third such attack on a female officer since July.        



The commander, identified as Second Lt. Nigara, died in a hospital in Lashkar Gah, the provincial capital, said the regional medical director, Enayatullah Ghafari. She had been shot in the neck.        
Lieutenant Nigara, who goes by only one name, had just walked out of her home on Sunday when two gunmen on a motorcycle shot her from behind. No one has claimed responsibility, but the authorities blamed drug traffickers or Taliban insurgents.        
The two previous attacks on policewomen were also fatal. All three episodes involved unknown gunmen who attacked during daylight hours in the provincial capital. There are 30 female officers still in the province.        
The policewomen were active and discovered drugs and foiled terrorists plots, and thats why they are on the top of their targeting lists, Ahmad Zwak, a spokesman for the provincial governor, said Sunday.        
In an interview this month, Lieutenant Nigara said she was undeterred by the deaths of her two colleagues. She told of living with constant death threats and in near poverty after her brother, also a police officer, was shot and paralyzed. She had been caring for him and his four children, in addition to doing her job.        
Im living in a ramshackle house, and whenever I come back there from duty, I smile to my husband that I am alive, she said.        
She added: I love this job, and I see my countrymen in trouble and the country in a critical situation, and I feel womens role is important in policing.        
Lieutenant Nigara originally joined the force during the communist era in the early 1990s, and she returned after the fall of the Taliban.        
She recounted how in 2006 she stopped a would-be suicide bomber, who was wearing an explosive vest, by throwing her arms around him in a bearhug. She apprehended insurgents and drug smugglers several times, even though they were disguised in burqas. And she said she once climbed onto a rooftop to capture an insurgent sniper.        
I am receiving threats on a daily basis, she said. The smugglers and terrorists are threatening me, saying I should give up, but I tell them that I am an Afghan woman, and I wont leave the job as long as there is blood in my veins.        
Mr. Zwak, the provincial spokesman, said the latest attack would not deter the other female officers. We have a lot of courageous women in the police, and they wont give up, he said.        
But a police official, speaking on the condition of anonymity because he was not authorized to discuss the subject, worried that the shooting of Lieutenant Nigara would serve as a deterrent. She was the one encouraging female staff to continue working, he said. The policewomen were all terrified when the two policewomen were killed.        
In July, Third Lt. Islam Bibi, who was in charge of the female recruiting department for the Helmand police and was a seven-year veteran of the force, was fatally shot in the back while on a motorcycle with a male relative. She left a husband and seven children. Also in July, Sgt. Shah Bibi, a six-year veteran of the force whose husband, also a police officer, was killed earlier, was shot while shopping in the bazaar. She left four children.        
These recent assassinations really have had a negative impact on how the policewomen feel, Lieutenant Nigara said in the interview earlier this month. I am giving them courage and boosting their morale.        
She added: They are really courageous women. None quit their jobs, and I am sure none will, even if things become even worse.        



 
Alissa J. Rubin contributed reporting from Paris. 
 



",Female Afghan Police Commander Dies After Shooting,World,News
7,"










GIGLIO, Italy  After a costly, painstaking and potentially perilous operation to raise the battered hull of the cruise ship Costa Concordia, engineers said early Tuesday that they had succeeded in righting the ship, removing it from two granite reefs where it ran aground last year, killing 32 people.        



The 19-hour, highly complicated salvage operation had managed to completely rotate the ship, leaning it on an underwater platform built underneath, the engineers said.        
This was an important, visible step, Franco Gabrielli, head of Italys Civil Protection Agency, told reporters at 4 a.m., accompanied by applause from a few residents who had stayed up all night to follow the operation.        
The rotation happened in the way we thought and hoped it would happen, echoed Franco Porcellacchia, project manager for Costa Cruises, the ships operator. There is no evidence so far of any impact to the environment. If there are debris to be removed, we will do it tomorrow.        
As parts of the vessel emerged in the later afternoon on Monday, discolored and rusting, from the waters where the Concordia had languished, listing on its side, engineers said the operation would most likely take longer than initially planned.        
Salvage experts have said the dimensions of the stricken 951-foot vessel made the operation unparalleled in the annals of marine salvage, as more than 500 divers, technicians, engineers and biologists prepared the ship for what is known as parbuckling to bring it upright and minimize environmental risks to Giglio Island, a marine sanctuary.        
Using huge jacks, cables, pulleys and specialized equipment, the salvage effort had been set to begin at first light, but a sudden storm prevented workers from moving a barge and rubber booms close to the ship.        
Three hours after work started, engineers said the first phase of the operation  easing the vessel away from its rocky perch  was going according to plan. These hours were the most uncertain, as we could not establish how much the hull was wedged, said Sergio Girotto, project manager with Micoperi, the projects underwater construction and offshore contractor. Now we have to guide it into the desired position.        
The next phase of the salvage, engineers said, involved settling the wreck on an artificial seabed made of bags of cement next to underwater steel platforms. To achieve that, the cruise liner needed to be rotated about 65 degrees, they said. If it all goes well, the ship will be towed away and broken up for scrap by spring.        
The operation was broadcast live on television and the Internet. The Italian news media portrayed the salvage as a chance for Italy to revamp its image after the wreck, in which the captain fled the damaged ship and the evacuation was chaotic.        
The leading national daily, Corriere della Sera, called the shipwreck a monument to human stupidity and a humiliation for Italy. It said it hoped that the salvage effort would provide a new and different story for the country.        
The ships captain, Francesco Schettino, is scheduled to go on trial this fall on charges of multiple manslaughter, causing a shipwreck and abandoning the vessel before everyone was safe. He has denied wrongdoing. A company official and four crew members have already pleaded guilty to reduced charges.        
Preparations for the salvage operation took 14 months, and the cost has increased to $799 million from $300 million and could rise further, according to Costa Cruises. The Costa Concordia has been stabilized with anchors and cement bags, and underwater platforms have been built on the port side. Salvage crews used pulleys, strand jacks and steel cables placed on nine caissons attached to the left side of the ship to slowly dislodge it on Monday from the two rocks where it had been resting.        
The operation was monitored by engineers and remotely operated vehicle pilots from a control room on a barge close to the bow of the ship. If images or sonar showed dangerous twisting, the technicians could adjust the process. At a command center onshore, engineers could intervene if the ship did not rotate, or did not rotate properly.        
Salvage masters and the Italian authorities had prepared for complications. Most of the fuel was siphoned off within months of the wreck. But the vessel that once transported and entertained 4,229 people still contains chemicals and diesel fuel that could leak into the pristine waters for which Giglio, a popular tourist spot, is known.        
During the rotation process, the regions environmental agency took samples to monitor water quality.        
Detaching the ship from the rocks was the most complicated phase, which is probably why they decided to do it very cautiously, said Emilio Campana, the director of the research office for naval and maritime engineering at Italys National Research Council. We have to keep in mind that the structure is heavily damaged, and see if and how it holds together from now on.        



 
Gaia Pianigiani reported from Giglio, and Alan Cowell from London. 
 



",Crews Right Cruise Ship in Waters Off Italy,World,News
8,"










BERLIN  Chancellor Angela Merkel got good and bad news on Sunday from Germanys economically powerful state of Bavaria: her conservative allies captured an absolute majority in elections for the regional Parliament, but her current liberal partners in the national government failed to make the cut.        



In a race that was scrutinized as an indicator of the national mood before Sundays federal elections, the disastrous showing of just 3 percent for the Free Democrats  well short of the 5 percent needed to enter any German legislature  made it less likely that Ms. Merkel would be able to form another coalition government with them after the national vote.        
The Christian Social Union, the Bavarian party that governs in partnership with Ms. Merkels Christian Democratic Union, secured 47.7 percent of the vote in the 180-seat state legislature, according to official results. That would translate into 101 seats for the conservatives, 10 more than needed to form a majority government.        
The conservative parties main rivals, the Social Democrats, won 20.6 percent of the vote, or 42 seats, according to the initial official results. That reversed a downward trend, with credit universally given to Christian Ude, a former journalist who has for 20 years been a highly popular mayor of Munich.        
Under Germanys election system, voters are able to cast two votes, one for a party and one for a candidate. This can lead to results in which the percentage of voters does not always correlate directly with the number of seats a party wins.        
The conservative parties main rivals, the Social Democrats, won just over 20 percent of the vote on Sunday, according to the initial official results.        
The year 2008 is history. We are back, a beaming Horst Seehofer, Bavarias state premier and leader of the Christian Social Union, said minutes after the first exit polls heralded his triumph.        
Five years ago, the Bavarian conservatives lost the absolute majority they had enjoyed for 56 years, turning to the pro-business Free Democrats to form a government that mirrored Ms. Merkels coalition in Berlin.        
Sundays outcome stirred anxiety in Berlin, where the continuation of Ms. Merkels current coalition government is dependent on a strong showing by the smaller party, which has struggled at the national level.        
Despite Ms. Merkels comfortable lead in the polls over her main rival, Peer Steinbrck, concerns are growing that she may have no choice but to try to form a government with his center-left Social Democratic Party if the Free Democrats fail to make the crucial 5 percent threshold or barely cross it.        
The Free Democratic Partys leader, Philipp Rsler, sought to rally supporters nationwide by singling out Bavaria as unique.        
We all know that things are different in Bavaria, and from now on, its all about Germany, Mr. Rsler said, adding that this result is a wake-up call.        
The Greens received about 8.5 percent of the vote, while the Free Voters, a Bavarian party that opposes Germanys euro-zone policy, hovered around 9 percent, the state election monitor said on its Web site.        
The mood for a change in the land was just not there, said Theresa Schopper, a Greens leader in Bavaria, in an unusually frank assessment. Her party has struggled nationally this year, in part because of a poorly communicated message widely seen as raising taxes for many.        
The conservatives strong showing will not necessarily translate into equal success for Ms. Merkel next week. There is some fear that Bavarians, who make up Germanys second-strongest voting bloc, could be less inclined to go to the polls two weeks in a row. And those who want to see the Free Democrats hang on may well use their second party vote that way rather than casting it for Ms. Merkels party. At her partys headquarters in Berlin on Sunday night, the tension was palpable.        
In addition, Mr. Seehofers strength could prove a problem for Ms. Merkel even if she is returned to office. His interpretation of conservatism has remained more traditional, while she has steered her party toward more leftist issues, like creating more publicly run day care centers and deciding to shut down Germanys nuclear power plants.        
While Bavarias capital, Munich, has become a diverse metropolitan area, home to some of Germanys most powerful industrial and high-tech companies, much of the rest of the state is rural and socially conservative. The area still holds strong ties to the Roman Catholic Church and its unique cultural identity, stemming from its history as an independent kingdom.        
Bavaria has the lowest unemployment rate of Germanys 16 states, with only 3.8 percent of its 12.5 million inhabitants out of work, and there has been growing unease in the state with Germanys system under which economically stronger states distribute some of their tax earnings among weaker regions.        



 



",Bavarian Voting Gives German Chancellors Re-election Hopes a Mixed Blessing,World,News
9,"










LONDON  In an old church annex in northwest London, the walls of the Cutler & Gross offices are lined with colored eyewear that looks like fragments of stained-glass windows.        



The analogy is apt as, ever since 1969, when the opticians Graham Cutler and Tony Gross set up a store in the upscale Knightsbridge district, the brand has exhibited an almost religious fervor about handmade glasses.        
Today, with the 30-year veteran Marie Wilkinson as its design director, the company continues to sell its own 1,000 styles while expanding relationships with some of fashions trendiest designers.        
The licenses with Giles Deacon, Thomas Tait, Victoria Beckham and Maison Martin Margiela are not especially lucrative, says Majid Mohammadi, the companys co-owner and chief executive. But they do allow the eyewear maker to develop designs with like-minded creative people, who buy the glasses for resale under their own labels.        
Working on eyewear helps designers articulate their point of view, and they, in turn, are ambassadors for wearing glasses, Ms. Wilkinson explains.        
Mr. Deacon said he had been wearing the companys logo-free frames for years before he approached the executives in 2009, seeking a collaboration.        
I have always really respected the quality and the simplicity of the designs that they make, he says. They come from an aesthetic which is just a bit different from the norm, which I think is really attractive.        
He adds that he feels comfortable sharing his offbeat references  from Kurt Cobain to the Scooby-Doo character Velma  with someone like Ms. Wilkinson.        
For Mr. Deacons spring 2013 collection, Cutler & Gross created oversize, rounded glasses that featured inlaid pearls and crystals above the brow.        
As Mr. Mohammadi describes it, the designers value the companys quality-over-quantity approach. We cant do mass production and distribution. We are like Savile Row suits rather than Boss suits, which, he continues, may be very good, but theyre not handmade  thats the bottom line.        
Everything from milling lens grooves to fitting hinges is done by its craftsmen in Italy, where the brand owns two factories. The second site, established only this year in the northern city of Cadore, has allowed specialists like metalworkers or artisans who cut acetate to work together.        
But with production based in Italy, why keep the design team in London?        
It comes down to the heritage, says Ms. Wilkinson, and the English mixture of irreverence and correctness that was a hallmark of designs by Mr. Cutler and Mr. Gross.        
A pair of Cutler & Gross sunglasses might retail for 350, or about $560  compared with the 220 that Gucci might charge  but the difference between the production cost is massive, says Mr. Mohammadi.        
He will not be specific, but he acknowledges the brands margins are significantly smaller than those of larger companies while adding that it spends nothing on promotion or marketing.        
Mr. Mohammadi, who owns the business with Mr. Cutler (Mr. Gross had a stroke and retired in 2009), predicts the new factory will double the brands production capacity, helping to meet demand in the brands 600 points of sale in 60 countries, including a newly opened store on Mercer Street in the Soho neighborhood of New York.        
As for further expansion, the brand has vague plans for more stores. Mr. Mohammadi says it should open in Tokyo and Milan, but Im not in a rush. It took me three years to open one in New York. As a cash-rich private company, if we want to open a store, were not at the mercy of anyone. We take our time.        



 



","In London, Faith in Handmade Eyewear",Fashion & Style,News
