"X","content","headline","section_name","type_of_material"
5,"










SEOUL, South Korea  In the latest sign of a thaw on the divided Korean Peninsula, hundreds of cars and trucks streamed across the border on Monday to take South Korean managers and raw materials back to a jointly operated industrial park in North Korea, where factories resumed production after a 166-day hiatus.        



Operations at the factory complex in the North Korean town of Kaesong came to a halt in early April, when the North withdrew all 53,000 of its workers, blaming tensions with the United States and South Korea.        
The two Koreas reached an agreement in mid-August to reopen the complex, following weeks of negotiations. Technicians from the South have since made day trips across the border to work on the long-idled plants. Separately, South Korean officials have been negotiating with their North Korean counterparts over changes that they hope will make the joint project less vulnerable to political tensions in the future, such as attracting non-Korean investment.        
More than 800 South Korean factory managers and truck drivers entered Kaesong on Monday, as about half of the 123 South Korean-owned factories there began test runs or resumed production, with North Korean employees back at work. Officials from a South Korean lobby group representing the interests of Kaesong factory owners handed out roses to managers at the border crossing to celebrate the occasion. Many of the South Koreans will stay at the site to manage the plants, as they had until South Korea withdrew all of its personnel between late April and early May.        
Since beginning operations in late 2004 as a test case for Korean reunification, the Kaesong complex has slowly grown in size, pairing South Korean manufacturing know-how with inexpensive North Korean labor. Last year, it produced $470 million worth of textiles, shoes, electronics parts and other goods.        
North Korea has agreed to exempt the South Korean-owned factories in Kaesong from taxation this year to help them make up for the millions of dollars lost because of the five-month halt in production. It also agreed to allow more frequent border crossings for South Koreans working at the plants. The North previously opened the border only four times a day for those traveling to and from Kaesong.        
The resumption of production at Kaesong was the most visible sign of easing tensions between the rival Koreas since they traded threats of war last spring, following the Norths latest nuclear test in February.        
Also on Monday, the two governments exchanged lists of names of people who will be allowed to meet with long-lost relatives from across the border, another inter-Korean program that is being resumed. The elderly Koreans, 96 from the South and 100 from the North, will participate in family reunions scheduled to begin on Sept. 25; they are among tens of thousands who have been on a waiting list to be reunited with relatives last seen during the Korean War of 1950-53.        



 



","Jointly Run Factory Park in North Korea Resumes Production","World","News"
6,"










KABUL, Afghanistan  An outspoken female police commander in southern Helmand Province died Monday, a day after being shot by two gunmen, the authorities said. It was the third such attack on a female officer since July.        



The commander, identified as Second Lt. Nigara, died in a hospital in Lashkar Gah, the provincial capital, said the regional medical director, Enayatullah Ghafari. She had been shot in the neck.        
Lieutenant Nigara, who goes by only one name, had just walked out of her home on Sunday when two gunmen on a motorcycle shot her from behind. No one has claimed responsibility, but the authorities blamed drug traffickers or Taliban insurgents.        
The two previous attacks on policewomen were also fatal. All three episodes involved unknown gunmen who attacked during daylight hours in the provincial capital. There are 30 female officers still in the province.        
The policewomen were active and discovered drugs and foiled terrorists plots, and thats why they are on the top of their targeting lists, Ahmad Zwak, a spokesman for the provincial governor, said Sunday.        
In an interview this month, Lieutenant Nigara said she was undeterred by the deaths of her two colleagues. She told of living with constant death threats and in near poverty after her brother, also a police officer, was shot and paralyzed. She had been caring for him and his four children, in addition to doing her job.        
Im living in a ramshackle house, and whenever I come back there from duty, I smile to my husband that I am alive, she said.        
She added: I love this job, and I see my countrymen in trouble and the country in a critical situation, and I feel womens role is important in policing.        
Lieutenant Nigara originally joined the force during the communist era in the early 1990s, and she returned after the fall of the Taliban.        
She recounted how in 2006 she stopped a would-be suicide bomber, who was wearing an explosive vest, by throwing her arms around him in a bearhug. She apprehended insurgents and drug smugglers several times, even though they were disguised in burqas. And she said she once climbed onto a rooftop to capture an insurgent sniper.        
I am receiving threats on a daily basis, she said. The smugglers and terrorists are threatening me, saying I should give up, but I tell them that I am an Afghan woman, and I wont leave the job as long as there is blood in my veins.        
Mr. Zwak, the provincial spokesman, said the latest attack would not deter the other female officers. We have a lot of courageous women in the police, and they wont give up, he said.        
But a police official, speaking on the condition of anonymity because he was not authorized to discuss the subject, worried that the shooting of Lieutenant Nigara would serve as a deterrent. She was the one encouraging female staff to continue working, he said. The policewomen were all terrified when the two policewomen were killed.        
In July, Third Lt. Islam Bibi, who was in charge of the female recruiting department for the Helmand police and was a seven-year veteran of the force, was fatally shot in the back while on a motorcycle with a male relative. She left a husband and seven children. Also in July, Sgt. Shah Bibi, a six-year veteran of the force whose husband, also a police officer, was killed earlier, was shot while shopping in the bazaar. She left four children.        
These recent assassinations really have had a negative impact on how the policewomen feel, Lieutenant Nigara said in the interview earlier this month. I am giving them courage and boosting their morale.        
She added: They are really courageous women. None quit their jobs, and I am sure none will, even if things become even worse.        



 
Alissa J. Rubin contributed reporting from Paris. 
 



","Female Afghan Police Commander Dies After Shooting","World","News"
7,"










GIGLIO, Italy  After a costly, painstaking and potentially perilous operation to raise the battered hull of the cruise ship Costa Concordia, engineers said early Tuesday that they had succeeded in righting the ship, removing it from two granite reefs where it ran aground last year, killing 32 people.        



The 19-hour, highly complicated salvage operation had managed to completely rotate the ship, leaning it on an underwater platform built underneath, the engineers said.        
This was an important, visible step, Franco Gabrielli, head of Italys Civil Protection Agency, told reporters at 4 a.m., accompanied by applause from a few residents who had stayed up all night to follow the operation.        
The rotation happened in the way we thought and hoped it would happen, echoed Franco Porcellacchia, project manager for Costa Cruises, the ships operator. There is no evidence so far of any impact to the environment. If there are debris to be removed, we will do it tomorrow.        
As parts of the vessel emerged in the later afternoon on Monday, discolored and rusting, from the waters where the Concordia had languished, listing on its side, engineers said the operation would most likely take longer than initially planned.        
Salvage experts have said the dimensions of the stricken 951-foot vessel made the operation unparalleled in the annals of marine salvage, as more than 500 divers, technicians, engineers and biologists prepared the ship for what is known as parbuckling to bring it upright and minimize environmental risks to Giglio Island, a marine sanctuary.        
Using huge jacks, cables, pulleys and specialized equipment, the salvage effort had been set to begin at first light, but a sudden storm prevented workers from moving a barge and rubber booms close to the ship.        
Three hours after work started, engineers said the first phase of the operation  easing the vessel away from its rocky perch  was going according to plan. These hours were the most uncertain, as we could not establish how much the hull was wedged, said Sergio Girotto, project manager with Micoperi, the projects underwater construction and offshore contractor. Now we have to guide it into the desired position.        
The next phase of the salvage, engineers said, involved settling the wreck on an artificial seabed made of bags of cement next to underwater steel platforms. To achieve that, the cruise liner needed to be rotated about 65 degrees, they said. If it all goes well, the ship will be towed away and broken up for scrap by spring.        
The operation was broadcast live on television and the Internet. The Italian news media portrayed the salvage as a chance for Italy to revamp its image after the wreck, in which the captain fled the damaged ship and the evacuation was chaotic.        
The leading national daily, Corriere della Sera, called the shipwreck a monument to human stupidity and a humiliation for Italy. It said it hoped that the salvage effort would provide a new and different story for the country.        
The ships captain, Francesco Schettino, is scheduled to go on trial this fall on charges of multiple manslaughter, causing a shipwreck and abandoning the vessel before everyone was safe. He has denied wrongdoing. A company official and four crew members have already pleaded guilty to reduced charges.        
Preparations for the salvage operation took 14 months, and the cost has increased to $799 million from $300 million and could rise further, according to Costa Cruises. The Costa Concordia has been stabilized with anchors and cement bags, and underwater platforms have been built on the port side. Salvage crews used pulleys, strand jacks and steel cables placed on nine caissons attached to the left side of the ship to slowly dislodge it on Monday from the two rocks where it had been resting.        
The operation was monitored by engineers and remotely operated vehicle pilots from a control room on a barge close to the bow of the ship. If images or sonar showed dangerous twisting, the technicians could adjust the process. At a command center onshore, engineers could intervene if the ship did not rotate, or did not rotate properly.        
Salvage masters and the Italian authorities had prepared for complications. Most of the fuel was siphoned off within months of the wreck. But the vessel that once transported and entertained 4,229 people still contains chemicals and diesel fuel that could leak into the pristine waters for which Giglio, a popular tourist spot, is known.        
During the rotation process, the regions environmental agency took samples to monitor water quality.        
Detaching the ship from the rocks was the most complicated phase, which is probably why they decided to do it very cautiously, said Emilio Campana, the director of the research office for naval and maritime engineering at Italys National Research Council. We have to keep in mind that the structure is heavily damaged, and see if and how it holds together from now on.        



 
Gaia Pianigiani reported from Giglio, and Alan Cowell from London. 
 



","Crews Right Cruise Ship in Waters Off Italy","World","News"
8,"










BERLIN  Chancellor Angela Merkel got good and bad news on Sunday from Germanys economically powerful state of Bavaria: her conservative allies captured an absolute majority in elections for the regional Parliament, but her current liberal partners in the national government failed to make the cut.        



In a race that was scrutinized as an indicator of the national mood before Sundays federal elections, the disastrous showing of just 3 percent for the Free Democrats  well short of the 5 percent needed to enter any German legislature  made it less likely that Ms. Merkel would be able to form another coalition government with them after the national vote.        
The Christian Social Union, the Bavarian party that governs in partnership with Ms. Merkels Christian Democratic Union, secured 47.7 percent of the vote in the 180-seat state legislature, according to official results. That would translate into 101 seats for the conservatives, 10 more than needed to form a majority government.        
The conservative parties main rivals, the Social Democrats, won 20.6 percent of the vote, or 42 seats, according to the initial official results. That reversed a downward trend, with credit universally given to Christian Ude, a former journalist who has for 20 years been a highly popular mayor of Munich.        
Under Germanys election system, voters are able to cast two votes, one for a party and one for a candidate. This can lead to results in which the percentage of voters does not always correlate directly with the number of seats a party wins.        
The conservative parties main rivals, the Social Democrats, won just over 20 percent of the vote on Sunday, according to the initial official results.        
The year 2008 is history. We are back, a beaming Horst Seehofer, Bavarias state premier and leader of the Christian Social Union, said minutes after the first exit polls heralded his triumph.        
Five years ago, the Bavarian conservatives lost the absolute majority they had enjoyed for 56 years, turning to the pro-business Free Democrats to form a government that mirrored Ms. Merkels coalition in Berlin.        
Sundays outcome stirred anxiety in Berlin, where the continuation of Ms. Merkels current coalition government is dependent on a strong showing by the smaller party, which has struggled at the national level.        
Despite Ms. Merkels comfortable lead in the polls over her main rival, Peer Steinbrck, concerns are growing that she may have no choice but to try to form a government with his center-left Social Democratic Party if the Free Democrats fail to make the crucial 5 percent threshold or barely cross it.        
The Free Democratic Partys leader, Philipp Rsler, sought to rally supporters nationwide by singling out Bavaria as unique.        
We all know that things are different in Bavaria, and from now on, its all about Germany, Mr. Rsler said, adding that this result is a wake-up call.        
The Greens received about 8.5 percent of the vote, while the Free Voters, a Bavarian party that opposes Germanys euro-zone policy, hovered around 9 percent, the state election monitor said on its Web site.        
The mood for a change in the land was just not there, said Theresa Schopper, a Greens leader in Bavaria, in an unusually frank assessment. Her party has struggled nationally this year, in part because of a poorly communicated message widely seen as raising taxes for many.        
The conservatives strong showing will not necessarily translate into equal success for Ms. Merkel next week. There is some fear that Bavarians, who make up Germanys second-strongest voting bloc, could be less inclined to go to the polls two weeks in a row. And those who want to see the Free Democrats hang on may well use their second party vote that way rather than casting it for Ms. Merkels party. At her partys headquarters in Berlin on Sunday night, the tension was palpable.        
In addition, Mr. Seehofers strength could prove a problem for Ms. Merkel even if she is returned to office. His interpretation of conservatism has remained more traditional, while she has steered her party toward more leftist issues, like creating more publicly run day care centers and deciding to shut down Germanys nuclear power plants.        
While Bavarias capital, Munich, has become a diverse metropolitan area, home to some of Germanys most powerful industrial and high-tech companies, much of the rest of the state is rural and socially conservative. The area still holds strong ties to the Roman Catholic Church and its unique cultural identity, stemming from its history as an independent kingdom.        
Bavaria has the lowest unemployment rate of Germanys 16 states, with only 3.8 percent of its 12.5 million inhabitants out of work, and there has been growing unease in the state with Germanys system under which economically stronger states distribute some of their tax earnings among weaker regions.        



 



","Bavarian Voting Gives German Chancellors Re-election Hopes a Mixed Blessing","World","News"
10,"










SEOUL, South Korea  South Korean soldiers shot and killed a man who was making a rare attempt to enter North Korea from the South, the Defense Ministry said Monday.        



The man, wearing civilian clothes, jumped into the Imjin River where it meets the western end of the border between the Koreas before it empties into the Yellow Sea, according to a ministry spokesman, who spoke on the customary condition of anonymity until his office made a formal announcement. The man ignored warnings from South Korean border guards to turn around, the spokesman said.        
We had to shoot to stop him, he said. We retrieved his body, and we are trying to find out who he is and what was his motive.        
Cases of people trying to cross the North-South border are rare. It is heavily mined and guarded by layers of barbed-wire fences and hundreds of thousands of soldiers on each side.        
And South-to-North crossings are extremely unusual. The last known case was in 2009, when a South Korean wanted on assault charges sneaked past border guards to defect.        
While about 25,000 North Koreans have defected to the South since a famine hit their country in the 1990s, most of them go through China. But they occasionally cross the North-South border.        
Last September, a North Korean civilian defected by swimming across the Imjin and crawling through a military fence along the border west of Seoul. The next month, two North Korean soldiers defected, one of them after killing two of his officers. Last month, an unarmed North Korean defected to a South Korean island where the Imjin joins the Yellow Sea.        



 



","South Korean Troops Kill Man Trying to Cross Border","World","News"
11,"










PARIS  Secretary of State John Kerry and the foreign ministers of France and Britain said on Monday that they would not tolerate delays in dismantling Syrias chemical weapons and would press ahead with a strong resolution in the United Nations Security Council to enforce the disarmament plan.        



It is extremely important that there are no evasions, William Hague, the British foreign secretary, said at a joint news conference.        
Referring to President Bashar al-Assad of Syria, Mr. Kerry said, If Assad fails in time to abide by the terms of this framework, make no mistake, we are all agreed  and that includes Russia  that there will be consequences.        
A major question, however, is whether the United States and its allies are pursuing the short-term goal of dismantling Syrias chemical arsenal at the expense of their ultimate objective of pressing Mr. Assad to relinquish power.        
The schedule for eliminating Syrias chemical weapons is ambitious: all of them are to be eliminated by the middle of 2014. And experts say that meeting such a schedule will depend heavily on the cooperation of the Assad government.        
Laurent Fabius, the French foreign minister, insisted that there was no contradiction between the disarmament goal and the longer-term diplomatic objective, because removing Mr. Assads chemical arsenal would undermine his military position and would eventually smooth the way for his ouster.        
It will be a weakening of his position, Mr. Fabius said. He must understand that there is no military victory.        
Mr. Kerry made a similar point. We are taking a weapon away from him that he has been using against his people, he said, while acknowledging that the Syrian military had also used conventional artillery and airstrikes indiscriminately against the population.        
Mr. Fabius emphasized the importance of increasing support for the Syrian opposition, much of which has expressed a sense of betrayal over the United States decision to put off a military strike.        
In order to negotiate a political solution, we need a stronger position, Mr. Fabius said. We therefore intend to strengthen our support to Syrian national coalition rebels. If you want to change the Assad regime without falling in the hands of the terrorists, you have to support the moderate opposition.        
Mr. Fabius remarked that much of the public appeared to think that the choice in Syria was between Mr. Assads government and Islamic militants, but he said that was false.        
Mr. Fabius said the Syrian opposition would be invited to an international meeting in New York that would be convened on the margins of the United Nations General Assembly, whose formal session opens next week and is scheduled to continue into early October.        
The framework plan on quarantining and destroying Syrias chemical arsenal was worked out by the United States and Russia on Saturday but now needs to be incorporated into a Security Council resolution.        
Under the framework agreement, the terms of the accord are to be included in a resolution under Chapter 7 of the United Nations Charter, which would authorize punitive measures if Syria does not comply. While Russia would almost certainly veto any Security Council endorsement of a military strike, other measures could include disrupting Syrias means of communications as well as imposing economic sanctions.        
In addition, Mr. Kerry has said the United States remains prepared to launch a unilateral strike if Syria fails to meet its commitments.        
Mr. Kerry said that every representation of compliance by the Syrian government would be verified. Nothing can be accepted at face value or in words alone, he said.        
Mr. Hague added that Britain, France and the United States were intent on preventing Syria from engaging in a cat-and-mouse game.        
The pressure is on them to comply with this agreement in full, he said. The world must be prepared to hold them to account if they dont, and our three countries are certainly determined to do so.        



 



","U.S. and Allies Push for Strong U.N. Measure on Syrias Arms","World","News"
12,"




NEW DELHI  Indias main inflation rate hit a six-month high in August, driven by a surprise surge in food prices, hardening the case for the central banks governor, Raghuram Rajan, to keep interest rates high at his first policy meeting this week.         
Food inflation accelerated to a three-year high of 18.18 percent in August, government data released on Monday showed, driving overall inflation to a higher-than-expected 6.1 percent.        
Recent government moves to increase fuel prices also drove the jump in the wholesale price index, the price of a representative basket of wholesale goods.        
Economists polled by Reuters had expected a headline reading of 5.8 percent, compared with 5.79 percent in July. The main, or headline, inflation rate includes food prices, which are often volatile.        
Late planting and disruptions in the supplies of vegetables, including onions, because of heavy summer rains have fueled food inflation. Onion prices jumped 51 percent from July to August.        
Mondays release was the last major data point before Mr. Rajan, a former I.M.F. chief economist, holds his first policy meeting Friday.        
Developments in the currency market suggest that R.B.I. should be in a position to start reversing its tightening measures. However, they have to be careful, as market could interpret it as tolerating higher inflation, said A. Prasanna, an economist with ICICI Securities Primary Dealership in Mumbai, referring to the central bank, the Reserve Bank of India.        
The higher inflation number dampened market expectations that Mr. Rajan would begin to roll back some of the measures put in place by his predecessor in a bid to arrest a sharp decline in the rupee since May.        
He has already warned he does not have a magic wand to deal with Indias economic crisis, but as he has been dubbed the Guv by a gushing Indian media, hopes are high he can find a formula to stabilize the rupee, calm inflationary pressure and at the same time set off a revival in economic growth.        
Before he reveals his monetary stance, Mr. Rajan will first have to deal with the outcome of a pivotal meeting on Tuesday and Wednesday of the U.S. Federal Reserve. The Fed is likely to announce measures to rein in its huge economic stimulus. Fears of an expected policy tapering have already set off an emerging-market sell-off, contributing to the rupees fall to a record low.        
The Fed is expected to reduce its $85 billion a month bond-buying program, but financial markets are uncertain about the extent of the reduction.        



 




","Inflation Climbs in India on Food Costs","Business Day","News"
13,"




PARIS  Policy makers are hoping a general election next Sunday in Germany will allow the important business of integrating Europe to finally move forward, but they hardly expect a radical shift in Germanys stance on major issues.         
From Athens to Lisbon and Paris to Rome, governments want Berlin get behind a banking union and also adopt a more expansionist economic policy to help drive growth and fight unemployment in stagnant euro zone economies.        
European officials largely expect Chancellor Angela Merkel to win a third term. Many hope that Ms. Merkel, a conservative, will have to form a grand coalition with the center-left Social Democrats, or S.P.D., whose pro-Europe leanings tend to make them more open to stimulus measures than the current partner in the governing coalition, the center-right Free Democratic Party, or F.D.P.        
But even if Ms. Merkel is forced to team up with the more liberal S.P.D., Germanys stance on major European issues is unlikely to shift.        
Whoever is elected, the constraints that Merkel has faced will remain the same for any German government, said Sylvie Goulard, a French representative to the European Parliament, who is a member of the liberal Democratic Movement party.        
Hostile public opinion and institutions that strictly interpret European Union laws will continue to bind Germanys movement, making it difficult for the government to share the financial burdens of fellow euro zone members.        
Ms. Merkel and her S.P.D. challenger, Peer Steinbrck, barely mentioned European and foreign policy in their only television debate, except to agree that Germany should have no part in any military response to the use of chemical weapons in Syria.        
Mr. Steinbrck accused Ms. Merkel of bungling the euro zone crisis by going slow and inflicting a poisonous dose of austerity measures on Greece and other bailed-out countries. He kept silent about S.P.D.s support for pooling some euro zone debts, sensing a vote-loser.        
The chancellor noted that the S.P.D. had voted for all of her euro zone bailout proposals, but she offered no personal vision of Europes future.        
With the survival of the common currency no longer under threat and financial markets calm for now, policy makers expect Ms. Merkel to stick to her small steps approach to euro zone integration unless the crisis flares again.        
The need for further financial support for Greece, Portugal and perhaps Ireland will cause much grumpy debate in Berlin. Frustration at chronic Italian political instability and French aversion to liberal economic changes will smolder.        
Perhaps as important for German policy as the election result may be a ruling by the Federal Constitutional Court next month on the European Central Banks efforts to hold euro zone members borrowing costs in check by buying their bonds, which calmed the crisis when the E.C.B. president, Mario Draghi, announced the initiative last year.        
The German court is not expected to declare the bond buying illegal, but it may set conditions that could make the policy hard to implement.        
Germany will build Europe at its own pace and on its own terms. The others need to swallow and understand this, said Ulrike Gurot, who represents Germany on the European Council on Foreign Relations. If they try to rush us, it will take longer.        
At the same time, Berlin is expected to continue to insist that Europe be given binding control over national budgets as a condition for providing financial support to other euro zone members, she said.        
Divergent views held by Germany and the rest of the world as to the cause of the European debt crisis will also slow any progress.        
We Germans talk about respect for rules and constitutional legality, Ms. Gurot said. The French talk about the need for a European strategy and solidarity. The British and Americans talk about rebalancing the economy and want Big Bazooka solutions.        



 1  2 Next Page  




","Even After Election, Germany Likely to Stand Fast","Business Day","News"
18,"










DENVER  As rain continued to fall Monday along Colorados Front Range, officials waited for a clearing in the weather so National Guard helicopters grounded by rain and fog could resume searching for hundreds of people who remain cut off by floodwaters.        



Officials said that they had not yet determined when the helicopter rescue flights could proceed, but the authorities have told residents isolated in Lyons, Jamestown and other mountain towns that once the helicopters were in the air that they should do what was necessary, within reason, to get the attention of the National Guard pilots. Among the suggested methods are to wave or place a white sheet on the roof of their house, light signal flares or small fires, or redirect the sun with mirrors.        
Residents needing evacuation were also asked to be pack medication or clothes they might need because it could be days or weeks before they are allowed to return home.        
Telephone landlines, cellphone service and the Internet have either been knocked out in the area or are undependable. Given the risk of further mudslides and the amount of mud, water and debris that have piled up in some places, even walking a few feet can prove difficult, officials said.        
The rain, which has been falling on the Front Range for much of the past week, prompted fears of new flooding Monday as the National Weather Service issued a flash flood watch starting Monday afternoon and extending into the early evening hours in anticipation of heavy thunderstorms expected to roll through the area. Some of the storms could bring as much as one inch of rain in as little as 30 minutes, the weather service said in an advisory.        
W. Craig Fugate, the administrator of the Federal Emergency Management Agency, was scheduled to arrive Monday to help coordinate relief efforts, the agency said.        
The storms have left at least six people dead or presumed dead so far, the most recent reported fatality being that of an 80-year-old woman who was apparently washed away with her home.        
More than 800 people are now listed as unaccounted for in Larimer and Boulder Counties, the authorities said. Officials said they hoped that most of those people had simply been unable to reach friends and family members because of the limited ability to communicate.        
On Sunday, National Guard pilots waited all day for the fog to lift, but were unable to get off the ground at Boulder Municipal Airport and elsewhere.        
The good news is weve got 16 helicopters, said John Schulz, a spokesman for the sheriffs office in Larimer County. The bad news is they cant go anywhere.        
A break in the relentless rains had brought dramatic scenes of rescue and reunion on Saturday, as big-bellied Chinook helicopters buzzed over the flooded roadways to airlift hundreds of residents from campgrounds, homes and destroyed mountain hamlets. One mission rescued 85 children and 14 adults who had been trapped while attending an outdoor education camp near Jamestown.        



 
Timothy Williams contributed reporting from New York. 
 



","Weather Grounds Copters in Colorado Rescue","U.S.","News"
19,"










MOSCOW  A Russian nuclear submarine caught fire and was spewing smoke into the air at a port city in Russias Far East early Monday, but fire crews extinguished the blaze, and the authorities said no radiation leaked.        



Two nuclear reactors were on board, but they had been shut down before the fire started.        
Crews had also removed the arsenal of torpedoes and missiles, so there was no risk of an explosion, Russian military officials said, according to the Interfax news agency.        
The submarine, called the Tomsk, was docked at a shipyard near Vladivostok for repairs.        
The crew evacuated after smoke started to fill the boat, the RIA news agency reported. And photographs showed smoke billowing from vents along the submarines sides.        
Concerns about radiation leaks into the Pacific Ocean are high after the Fukushima nuclear power plant disaster in Japan two years ago. And for the Russians, any submarine accident rekindles memories of the sinking of the Kursk in the Barents Sea in 2000, when some crew members were trapped alive for days but did not survive.        
The Russians said the Kursk went down after one of its torpedoes exploded, but the blast did not rupture the hardened reactor segments of the submarine to release radiation.        
Vows to improve safety followed, but lean post-Soviet military budgets continued to strain the Russian Navy. Under a modernization plan, Russia intends to spend 5 trillion rubles, or $166 billion, repairing and replacing naval vessels over the next eight years.        
Sparks from welding during work to repair and upgrade the Tomsk most likely caused the fire on Monday, RIA reported, quoting Aleksei Kravchenko, a spokesman for the United Shipbuilding Corporation, the state-owned company doing the work.        
The submarine has two hulls. An inner hull is thick enough that the interior of the submarine can be maintained at the pressure of the surface, even when deep underwater. The reactors are inside this pressurized hull.        
A space for ballast tanks and other equipment separates this rigid cylinder of metal from the thin outer hull.        
The fire broke out between the two hulls, Mr. Kravchenko said, separated from the two nuclear reactors by the thick inner hull. It burned paint and insulation. Firefighters extinguished it with foam, reports said.        
The Tomsk is an attack submarine and, as such, would not carry strategic nuclear warheads even if all the weaponry had not been removed from the boat for the repairs. It was never threatened by the fire, the Russian authorities asserted.        
An American nuclear submarine, the Montpelier, collided with a ship in 2012, and a British nuclear submarine, the Astute, beached on a sandbar in 2010. Fires broke out on Russian nuclear submarines in 2011 and in 2008 without causing a radiation leak.        



 



","Authorities Say No Radiation Leaked in Russian Sub Fire","World","News"
